CountryName,TotalCases,NewCases,TotalDeath,NewDeath,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathPerM,TotalTests,TestPerM,Population
USA,35259330,44583,626509,311,29490432,12259,5142389,6654,105868,1881,521134583,1564730,333050797
India,31331145,39441,420038,536,30495352,35048,415755,8944,22471,301,452939545,324849,1394309103
Brazil,19524092,0,547134,0,18259711,0,717247,8318,91169,2555,54786381,255828,214153392
Russia,6078522,23811,152296,795,5450004,22547,476222,2300,41634,1043,161400000,1105475,146000561
France,5933510,0,111565,0,5669083,0,152862,868,90690,1705,99605085,1522408,65426028
UK,5637975,36389,129044,64,4434939,7406,1073992,699,82593,1890,237814221,3483827,68262351
Turkey,5574997,11094,50821,60,5410554,5215,113622,543,65361,596,65918377,772822,85295702
Argentina,4812351,0,103074,0,4447953,0,261324,4532,105457,2259,18608333,407782,45633094
Colombia,4692570,0,117836,0,4449027,0,125707,8155,91198,2290,21876392,425159,51454592
Italy,4307535,5143,127937,17,4120846,1239,58752,155,71355,2119,75792867,1255516,60367884
Spain,4280429,31171,81221,27,3683457,2332,515751,1292,91513,1736,55184196,1179807,46773907
Germany,3760270,1864,92024,34,3643300,700,24946,356,44730,1095,65845568,783253,84066782
Iran,3645654,21814,88273,210,3220445,16309,336936,4696,42827,1037,25400499,298388,85125665
Indonesia,3082410,49071,80598,1566,2431911,38988,569901,0,11145,291,24409303,88256,276572580
Poland,2881948,108,75235,4,2653172,84,153541,52,76236,1990,18265699,483184,37802815
Mexico,2709739,16244,237626,419,2112815,0,359298,4798,20786,1823,8095331,62099,130360752
South Africa,2356049,13719,69075,450,2133196,23376,153778,546,39204,1149,14477689,240907,60096588
Ukraine,2247419,763,52811,21,2183642,639,10966,177,51717,1215,11239813,258649,43455925
Peru,2099522,0,195547,0,0,0,0,1951,62755,5845,15169438,453419,33455656
Netherlands,1833668,6395,17792,3,1663091,649,152785,112,106764,1036,15472423,900874,17174907
Czechia,1672140,197,30347,0,1638606,6,3187,6,155838,2828,32033742,2985448,10729961
Chile,1606358,1645,34875,83,1559891,1222,11592,1813,83277,1808,18226220,944890,19289254
Philippines,1537097,6845,26891,0,1455137,2330,55069,2031,13833,242,16187587,145680,111117599
Iraq,1535848,8905,18167,66,1394536,8205,123145,684,37304,441,12686807,308147,41171248
Canada,1425097,0,26526,0,1394060,0,4511,244,37413,696,38054565,999040,38091128
Bangladesh,1146564,6364,18851,166,978616,9006,149097,1273,6890,113,7396867,44447,166419228
Belgium,1112161,1751,25217,2,1054202,0,32742,85,95523,2166,16729624,1436900,11642862
Sweden,1096799,0,14615,0,1074360,380,7824,25,107892,1438,11231122,1104804,10165710
Romania,1082057,104,34266,2,1047117,117,674,38,56646,1794,10336704,541133,19101972
Pakistan,1000034,1425,22939,11,923472,543,53623,2525,4437,102,15584899,69142,225404255
